volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,quality
0.45,0.49,2.6,0.084,21.0,0.9987,3.35,0.57,9.7,5
0.39,0.49,1.7,0.07,23.0,0.9922,3.12,0.5,11.5,6
0.49,0.58,3.5,0.094,9.0,1.0004,3.29,0.58,9.0,5
0.595,0.41,7.9,0.086,30.0,0.9998,3.27,0.57,9.3,5
0.4,0.51,2.0,0.059,6.0,0.9994,3.04,0.6,9.3,6
0.585,0.18,2.1,0.078,5.0,0.9967,3.2,0.48,9.8,6
0.835,0.0,2.6,0.081,6.0,0.9975,3.3,0.52,9.3,5
0.58,0.13,2.9,0.096,14.0,0.9984,3.17,0.62,9.1,6
0.48,0.41,3.3,0.092,26.0,0.9982,3.31,0.53,10.5,6
0.36,0.19,3.2,0.075,15.0,0.9956,3.56,0.52,12.7,6
0.24,0.54,2.5,0.083,25.0,0.9983,3.39,0.54,9.2,5
0.38,0.55,2.7,0.081,5.0,1.0006,2.98,0.54,9.4,5
0.64,0.0,2.4,0.077,18.0,0.9965,3.32,0.6,10.0,6
0.6,0.5,2.3,0.079,28.0,0.9997,3.5,0.57,9.7,5
0.31,0.51,2.2,0.079,14.0,0.9982,3.03,0.93,9.8,6
0.37,0.41,2.3,0.088,6.0,0.9988,3.09,0.8,9.3,5
0.54,0.24,3.4,0.076,16.0,0.9976,3.27,0.61,9.4,5
0.56,0.23,3.4,0.078,14.0,0.9976,3.28,0.62,9.4,5
0.58,0.22,1.9,0.08,9.0,0.9974,3.13,0.55,9.5,5
0.69,0.0,5.6,0.124,21.0,0.9997,3.46,0.72,10.2,5
0.6,0.29,2.2,0.098,5.0,0.9988,3.36,0.49,9.1,5
0.54,0.26,2.5,0.0969999999999999,7.0,0.9976,3.27,0.6,9.3,6
0.685,0.23,2.3,0.111,20.0,0.9964,3.21,0.61,9.3,5
0.28,0.54,2.7,0.105,5.0,0.9988,3.25,0.63,9.5,5
0.41,0.14,3.0,0.087,21.0,0.9964,3.32,0.57,10.5,6
0.935,0.22,3.4,0.105,11.0,1.001,3.43,0.64,11.3,4
0.35,0.21,1.9,0.073,46.0,0.9964,3.27,0.58,9.5,5
0.84,0.0,1.4,0.065,24.0,0.9954,3.27,0.55,9.7,5
0.88,0.28,2.4,0.086,30.0,0.9979,3.24,0.53,9.4,5
0.885,0.27,2.3,0.084,31.0,0.9978,3.24,0.53,9.4,5
0.29,0.35,1.9,0.067,25.0,0.997,3.18,1.36,10.3,6
0.54,0.45,2.3,0.071,16.0,0.9991,3.39,0.62,9.4,5
0.845,0.01,2.2,0.07,5.0,0.9967,3.32,0.58,11.0,4
0.48,0.3,2.8,0.066,10.0,0.9964,3.33,0.67,11.2,7
0.42,0.27,8.6,0.068,24.0,0.9948,3.16,0.57,11.3,6
0.43,0.39,2.2,0.106,8.0,0.9986,2.89,0.5,9.6,5
0.33,0.59,2.8,0.079,9.0,0.9976,3.12,0.54,12.0,6
0.47,0.47,2.4,0.074,7.0,0.9979,3.08,0.46,9.5,5
0.55,0.17,2.9,0.087,20.0,1.0004,3.14,0.61,9.4,5
0.5,0.59,1.4,0.073,23.0,0.998,2.92,0.68,10.5,7
0.52,0.07,1.4,0.074,5.0,0.9973,3.32,0.81,9.6,6
0.42,0.31,1.6,0.08,15.0,0.9978,3.31,0.64,9.0,5
0.57,0.06,1.6,0.076,9.0,0.9972,3.36,0.7,9.6,6
0.59,0.14,2.0,0.084,25.0,0.9981,3.14,0.56,9.7,5
0.49,0.36,1.8,0.222,6.0,0.998,3.18,0.6,9.5,6
0.34,0.45,2.0,0.0819999999999999,6.0,0.9988,2.94,0.66,9.2,6
0.73,0.21,1.7,0.074,5.0,0.9968,3.2,0.52,9.5,5
0.4,0.41,2.2,0.084,7.0,0.9984,3.08,0.67,9.3,6
0.8,0.11,2.3,0.084,12.0,0.9979,3.4,0.48,9.9,5
0.78,0.1,2.6,0.081,45.0,0.9983,3.48,0.53,10.0,5
0.26,0.45,3.3,0.06,20.0,0.9972,3.13,0.54,9.6,5
0.45,0.23,2.2,0.094,16.0,0.9962,3.21,0.49,10.2,6
0.46,0.31,2.25,0.078,32.0,0.998,3.33,0.54,9.8,5
0.78,0.23,2.6,0.059,5.0,0.997,3.37,0.56,11.3,5
0.98,0.32,2.3,0.078,35.0,0.998,3.25,0.48,9.4,5
0.66,0.04,1.6,0.039,4.0,0.9962,3.4,0.47,9.4,5
0.38,0.48,1.8,0.157,5.0,0.9976,3.3,1.05,9.4,5
0.92,0.24,2.6,0.087,12.0,0.9998,3.48,0.54,9.8,5
0.48,0.32,2.8,0.084,21.0,0.9984,3.32,0.62,9.4,5
0.47,0.31,2.7,0.084,24.0,0.9984,3.31,0.61,9.4,5
0.65,0.02,2.1,0.066,8.0,0.9972,3.47,0.67,9.5,6
0.615,0.28,3.2,0.087,18.0,1.0001,3.31,0.53,9.7,5
0.38,0.55,2.1,0.071,5.0,0.9986,3.11,0.62,10.8,6
1.02,0.43,2.9,0.076,26.0,0.9984,3.08,0.57,10.1,6
0.64,0.02,2.1,0.067,9.0,0.997,3.47,0.67,9.4,6
0.38,0.48,2.6,0.073,22.0,0.9972,3.32,0.7,9.6,4
0.765,0.04,1.6,0.078,4.0,0.998,3.29,0.54,9.7,4
1.035,0.15,6.0,0.073,11.0,0.999,3.37,0.49,9.9,5
0.78,0.08,2.0,0.093,10.0,0.9956,3.4,0.47,10.0,5
0.49,0.19,3.0,0.077,16.0,0.9966,3.37,0.51,10.5,5
0.545,0.12,2.5,0.068,11.0,0.996,3.34,0.61,11.6,6
1.025,0.43,2.8,0.08,21.0,0.9985,3.06,0.57,10.1,5
0.565,0.34,3.0,0.093,16.0,0.9998,3.38,0.61,9.5,5
0.74,0.28,2.6,0.078,21.0,0.998,3.28,0.51,9.8,5
0.46,0.11,2.6,0.079,12.0,0.9968,3.21,0.57,10.0,5
0.56,0.04,2.0,0.0819999999999999,10.0,0.9976,3.22,0.44,9.6,5
0.66,0.0,3.9,0.086,17.0,0.9976,3.46,0.54,9.5,5
0.48,0.24,2.85,0.094,35.0,0.9982,3.1,0.53,9.2,5
0.66,0.17,3.0,0.077,5.0,0.9976,3.29,0.55,10.4,5
0.72,0.09,2.8,0.084,18.0,0.9994,3.43,0.72,11.1,6
0.57,0.02,1.8,0.067,4.0,0.997,3.46,0.68,9.5,5
0.865,0.03,3.2,0.071,27.0,0.995,3.61,0.49,12.7,6
0.55,0.66,2.3,0.387,12.0,0.9982,3.17,0.67,9.6,5
0.875,0.13,3.45,0.088,4.0,0.9994,3.44,0.52,11.5,5
0.835,0.03,2.1,0.092,10.0,0.9966,3.39,0.47,9.6,5
0.45,0.34,2.7,0.0819999999999999,16.0,0.998,3.55,0.6,9.5,5
0.56,0.2,2.0,0.075,9.0,0.9987,3.48,0.62,9.3,5
0.965,0.1,2.1,0.1119999999999999,11.0,0.9963,3.26,0.5,9.5,5
0.59,0.0,2.5,0.093,19.0,1.0002,3.5,0.65,9.3,6
0.69,0.0,2.4,0.088,19.0,0.999,3.35,0.6,9.3,5
0.76,0.29,4.2,0.075,12.0,0.9965,3.45,0.68,11.5,6
0.53,0.24,2.6,0.078,28.0,0.99788,3.21,0.57,9.5,5
0.39,0.54,2.7,0.095,21.0,1.0001,3.13,0.51,9.5,5
0.51,0.18,2.1,0.07,12.0,0.99768,3.52,0.73,9.5,6
0.34,0.38,2.5,0.08,12.0,0.9978,3.3,0.47,9.0,6
0.5,0.18,2.1,0.071,12.0,0.99761,3.52,0.72,9.6,6
0.65,0.1,2.9,0.089,17.0,0.99803,3.29,0.55,9.5,5
0.54,0.13,2.5,0.0969999999999999,24.0,0.99785,3.39,0.61,9.4,5
0.91,0.07,1.9,0.0579999999999999,22.0,0.99525,3.51,0.43,10.7,6
0.98,0.01,2.0,0.057,15.0,0.99488,3.6,0.46,11.2,6
0.87,0.0,2.2,0.084,10.0,0.99656,3.25,0.5,9.8,5
0.42,0.21,2.5,0.092,33.0,0.99823,3.19,0.52,9.2,5
0.58,0.25,2.8,0.075,9.0,0.99779,3.23,0.57,9.7,5
0.655,0.26,2.0,0.096,5.0,0.99738,3.25,0.42,9.6,5
0.7,0.0,1.7,0.069,8.0,0.99701,3.31,0.53,10.0,6
0.68,0.11,2.8,0.093,11.0,0.99888,3.31,0.55,9.5,6
0.67,0.1,3.0,0.091,12.0,0.99888,3.31,0.54,9.5,6
0.59,0.18,2.9,0.089,12.0,0.99738,3.14,0.54,9.4,5
0.59,0.02,2.3,0.0819999999999999,24.0,0.99744,3.55,0.53,9.7,6
0.72,0.01,1.9,0.076,7.0,0.99668,3.39,0.54,9.6,5
0.685,0.26,2.4,0.0819999999999999,23.0,0.9978,3.28,0.55,9.4,5
0.57,0.27,2.3,0.0819999999999999,23.0,0.99782,3.27,0.55,9.4,5
0.4,0.29,1.8,0.157,1.0,0.9973,3.3,0.92,9.5,6
1.0,0.0,3.0,0.102,7.0,0.99586,3.43,0.46,10.0,5
0.635,0.17,2.4,0.241,6.0,0.9961,3.4,0.59,10.3,6
0.43,0.3,3.4,0.079,7.0,0.99788,3.36,0.61,10.5,5
0.52,0.03,2.6,0.076,21.0,0.99745,3.5,0.6,9.8,5
0.57,0.0,2.0,0.19,12.0,0.99676,3.31,0.6,9.4,6
0.46,0.14,2.4,0.114,9.0,0.99732,3.66,0.65,9.8,5
0.59,0.01,2.5,0.077,20.0,0.99746,3.55,0.59,9.8,5
0.35,0.41,2.3,0.083,11.0,0.9982,3.21,0.5,9.5,5
0.56,0.24,2.2,0.079,19.0,0.9991,3.18,0.56,10.1,6
0.63,0.17,2.9,0.099,21.0,0.998,3.09,0.52,9.3,5
0.37,0.43,2.6,0.0819999999999999,18.0,0.99708,3.33,0.68,9.7,6
0.64,0.17,2.9,0.084,25.0,0.99818,3.23,0.54,9.6,5
0.61,0.02,2.5,0.081,17.0,0.99745,3.48,0.6,9.7,6
0.6,0.0,2.6,0.055,7.0,0.99639,3.38,0.56,10.8,5
0.27,0.54,2.3,0.065,7.0,0.99531,3.17,0.53,12.5,6
0.89,0.3,2.6,0.132,7.0,0.99786,2.99,1.18,10.2,5
0.46,0.31,2.5,0.126,24.0,0.99746,3.1,0.74,9.6,5
0.37,0.44,1.6,0.038,21.0,0.99526,3.24,0.81,10.8,7
0.5,0.34,3.6,0.0819999999999999,5.0,0.9987,3.29,0.52,10.7,6
0.55,0.09,3.3,0.068,8.0,0.99735,3.23,0.44,10.0,5
0.585,0.0,1.7,0.044,14.0,0.99264,3.56,0.94,12.9,7
0.56,0.08,2.5,0.114,14.0,0.9971,3.24,0.66,9.6,6
0.52,0.22,2.7,0.084,4.0,0.99682,3.26,0.57,9.9,6
0.25,0.39,2.0,0.0409999999999999,4.0,0.99386,3.27,0.71,12.5,7
0.53,0.12,1.9,0.165,4.0,0.99702,3.26,0.86,9.2,5
0.48,0.31,2.8,0.07,4.0,0.99693,3.22,0.55,10.3,6
0.49,0.1,2.6,0.068,4.0,0.99562,3.3,0.47,10.5,5
0.5,0.55,2.8,0.072,7.0,1.00012,3.09,0.68,10.9,6
0.39,0.24,2.1,0.102,4.0,0.99462,3.44,0.58,11.4,4
0.41,0.54,2.8,0.103,19.0,0.99939,3.21,0.76,11.3,6
0.66,0.15,3.2,0.0969999999999999,9.0,0.99976,3.28,0.54,9.6,5
0.685,0.0,1.9,0.099,9.0,0.99606,3.34,0.6,9.7,5
0.54,0.13,2.0,0.076,15.0,0.9973,3.61,0.64,9.8,5
0.48,0.28,2.8,0.068,6.0,0.99682,3.24,0.53,10.3,5
0.27,0.34,2.3,0.05,4.0,0.9951,3.4,0.64,11.0,7
0.46,0.14,2.8,0.076,15.0,0.99624,3.36,0.49,10.7,5
0.685,0.07,2.5,0.0579999999999999,5.0,0.99632,3.38,0.55,10.9,4
0.61,0.08,2.1,0.071,16.0,0.99376,3.56,0.77,11.1,6
0.47,0.44,1.6,0.147,36.0,0.99836,3.38,0.86,9.9,4
0.28,0.28,2.4,0.012,36.0,0.99064,3.26,0.39,11.7,7
0.31,0.35,1.6,0.075,9.0,0.99672,3.24,0.83,11.2,7
0.66,0.0,3.0,0.115,21.0,0.99629,3.45,0.63,10.3,5
0.5,0.45,2.6,0.119,34.0,0.99708,3.23,0.72,10.9,6
0.685,0.35,2.0,0.088,9.0,0.9963,3.28,0.62,9.4,5
0.64,0.21,1.8,0.081,14.0,0.99689,3.59,0.66,9.8,5
0.68,0.16,1.8,0.078,12.0,0.9977,3.5,0.7,9.9,6
0.43,0.44,1.9,0.085,9.0,0.99708,3.28,0.55,9.5,5
0.36,0.39,1.5,0.08,41.0,0.99652,3.47,0.73,10.9,6
0.26,0.34,2.5,0.073,16.0,0.99594,3.4,0.78,11.3,7
0.28,0.47,1.7,0.054,17.0,0.99686,3.15,0.67,10.6,7
0.62,0.06,2.7,0.077,15.0,0.99746,3.51,0.54,9.5,5
0.42,0.32,2.7,0.067,7.0,0.99628,3.24,0.44,10.4,5
0.62,0.06,2.5,0.078,17.0,0.99746,3.51,0.53,9.7,5
0.635,0.07,2.6,0.077,16.0,0.99748,3.51,0.54,9.7,5
0.56,0.03,1.5,0.086,36.0,0.99522,3.53,0.57,10.6,5
0.35,0.24,2.0,0.067,28.0,0.99576,3.43,0.54,10.0,4
0.31,0.4,2.8,0.109,7.0,0.99614,3.31,0.79,11.8,7
0.715,0.01,2.1,0.064,31.0,0.99371,3.41,0.57,11.8,6
0.715,0.0,2.1,0.068,30.0,0.99533,3.48,0.65,11.4,6
0.31,0.29,3.1,0.1939999999999999,14.0,0.99536,3.22,0.78,12.0,6
0.61,0.19,4.0,0.094,30.0,0.99787,3.22,0.5,10.0,6
0.75,0.14,2.5,0.086,9.0,0.99824,3.34,0.64,10.5,5
0.8,0.12,2.4,0.083,8.0,0.99836,3.33,0.65,10.4,6
0.57,0.0,2.5,0.072,32.0,0.99491,3.43,0.56,11.2,6
0.66,0.03,2.3,0.078,16.0,0.99743,3.53,0.57,9.7,5
0.45,0.23,1.9,0.0819999999999999,10.0,0.99774,3.22,0.65,9.3,6
0.63,0.03,2.2,0.08,17.0,0.99745,3.53,0.58,9.8,6
0.59,0.01,2.3,0.08,27.0,0.9955,3.42,0.58,10.7,6
0.31,0.39,2.4,0.078,17.0,0.99444,3.31,0.77,12.5,7
0.31,0.36,2.6,0.0559999999999999,10.0,0.99562,3.4,0.69,11.8,5
0.635,0.1,2.4,0.08,16.0,0.99736,3.58,0.69,10.8,7
0.59,0.06,6.0,0.06,11.0,0.9962,3.41,0.59,10.8,7
0.54,0.27,2.6,0.084,12.0,0.9964,3.39,0.71,11.0,5
0.56,0.0,2.2,0.079,6.0,0.9948,3.59,0.54,11.5,6
0.52,0.13,2.4,0.078,34.0,0.99528,3.43,0.59,10.8,6
0.38,0.48,3.8,0.132,3.0,0.99577,3.23,0.57,13.2,6
0.46,0.44,2.9,0.065,4.0,0.99674,3.33,0.62,12.2,6
0.315,0.4,2.2,0.079,3.0,0.99512,3.27,0.67,11.9,6
0.715,0.19,1.5,0.161,7.0,0.99395,3.62,0.61,11.0,5
0.36,0.32,2.2,0.081,32.0,0.9964,3.3,0.72,11.0,6
0.62,0.12,1.8,0.072,38.0,0.99504,3.38,0.89,11.8,6
0.41,0.37,2.3,0.091,10.0,0.99786,3.24,0.56,10.5,5
0.47,0.27,2.3,0.055,14.0,0.99516,3.18,0.8,11.2,5
0.67,0.19,2.2,0.093,11.0,0.99736,3.2,0.59,9.2,4
0.33,0.38,3.3,0.063,10.0,0.99468,3.3,0.73,12.0,7
0.61,0.01,2.0,0.074,13.0,0.99748,3.48,0.65,9.8,5
0.4,0.29,1.9,0.078,29.0,0.9971,3.45,0.59,9.5,6
0.61,0.01,1.9,0.08,8.0,0.99746,3.69,0.73,10.5,5
0.3,0.38,2.3,0.06,19.0,0.99543,3.39,0.72,11.8,6
0.46,0.17,1.6,0.073,7.0,0.99425,3.61,0.54,11.4,5
0.27,0.49,5.0,0.0819999999999999,9.0,0.99484,3.19,0.52,12.5,7
0.43,0.4,2.6,0.092,13.0,0.99834,3.22,0.64,10.0,7
0.3,0.49,3.8,0.09,11.0,0.99498,3.27,0.64,12.1,7
0.44,0.58,4.1,0.092,11.0,0.99745,3.29,0.99,12.0,7
0.28,0.48,2.1,0.093,6.0,0.99408,3.26,0.62,12.4,7
0.12,0.45,1.8,0.075,10.0,0.99552,3.41,0.76,11.9,7
0.31,0.4,2.2,0.0579999999999999,6.0,0.99536,3.31,0.68,11.2,7
0.34,0.48,2.1,0.052,5.0,0.99458,3.2,0.69,12.1,7
0.21,0.52,1.9,0.09,9.0,0.99648,3.36,0.67,10.4,5
0.36,0.52,2.1,0.111,5.0,0.99568,3.31,0.62,11.3,6
0.57,0.12,2.3,0.12,25.0,0.99519,3.47,0.71,11.3,7
0.47,0.27,1.9,0.0579999999999999,18.0,0.99518,3.16,0.85,11.1,6
0.56,0.14,1.6,0.078,7.0,0.99592,3.27,0.62,9.3,5
0.57,0.02,2.1,0.115,6.0,0.99654,3.38,0.69,9.5,5
0.66,0.2,2.1,0.0969999999999999,23.0,0.99733,3.13,0.48,9.2,5
0.4,0.43,2.4,0.068,29.0,0.9943,3.2,0.6,12.2,6
0.26,0.48,1.9,0.066,6.0,0.99724,3.33,0.87,10.9,6
0.33,0.41,5.9,0.073,7.0,0.99658,3.3,0.62,12.1,7
0.41,0.3,2.1,0.083,35.0,0.997,3.44,0.52,9.4,5
0.59,0.29,2.6,0.109,31.0,0.99801,3.15,0.5,9.1,5
0.4,0.32,3.6,0.061,9.0,0.99416,3.28,0.49,11.3,7
0.5,0.3,1.9,0.065,8.0,0.99774,3.32,0.71,10.5,6
0.86,0.26,1.9,0.079,13.0,0.99712,3.25,0.62,10.0,5
0.52,0.32,2.1,0.07,51.0,0.99418,3.34,0.82,12.9,6
0.58,0.0,2.0,0.064,7.0,0.99562,3.45,0.58,11.3,6
0.36,0.3,1.6,0.08,35.0,0.99693,3.44,0.5,9.4,5
0.39,0.12,1.7,0.0969999999999999,19.0,0.99596,3.16,0.49,9.4,5
0.295,0.4,1.5,0.073,14.0,0.99556,3.14,0.51,10.9,6
0.34,0.28,2.0,0.0819999999999999,31.0,0.99694,3.45,0.48,9.4,5
0.6,0.06,2.0,0.079,19.0,0.99697,3.39,0.62,10.1,6
0.84,0.34,1.4,0.05,4.0,0.99554,3.12,0.48,9.1,6
0.69,0.0,1.65,0.055,7.0,0.99162,3.47,0.53,12.9,6
0.43,0.3,2.2,0.062,6.0,0.99495,3.44,0.72,11.5,7
0.43,0.29,1.6,0.081,27.0,0.99603,3.25,0.54,10.3,5
0.36,0.32,1.8,0.067,4.0,0.9928,3.36,0.55,12.8,7
0.29,0.33,2.05,0.063,13.0,0.99516,3.26,0.84,11.7,7
0.3,0.34,2.0,0.064,12.0,0.99516,3.26,0.84,11.7,7
0.35,0.4,3.6,0.11,12.0,0.99549,3.23,0.7,12.0,7
0.28,0.45,1.7,0.067,7.0,0.99354,3.25,0.55,12.3,7
0.32,0.31,2.0,0.088,12.0,0.9957,3.17,0.55,10.4,6
1.005,0.15,2.1,0.102,11.0,0.99604,3.23,0.48,10.0,5
0.71,0.0,1.6,0.092,22.0,0.99635,3.38,0.58,10.0,6
0.58,0.16,2.0,0.12,3.0,0.99454,3.22,0.58,11.2,6
0.38,0.4,2.2,0.068,12.0,0.99486,3.27,0.75,12.6,7
0.18,0.37,0.9,0.049,36.0,0.99007,2.89,0.44,12.7,6
0.5,0.14,1.8,0.078,10.0,0.99636,3.53,0.61,10.4,5
0.36,0.66,2.4,0.123,3.0,0.99642,3.2,0.53,11.9,6
0.51,0.09,2.1,0.062,4.0,0.99584,3.35,0.54,10.5,5
0.32,0.42,2.3,0.098,3.0,0.99506,3.27,0.55,12.3,6
0.58,0.01,1.8,0.088,12.0,0.99568,3.32,0.56,10.5,7
0.83,0.0,2.8,0.095,17.0,0.99822,3.33,0.6,10.4,6
0.31,0.32,1.9,0.066,14.0,0.99364,3.41,0.56,12.6,6
0.795,0.0,2.2,0.065,28.0,0.99378,3.49,0.52,11.6,5
0.82,0.0,4.1,0.095,5.0,0.99854,3.36,0.53,9.6,5
0.745,0.18,2.5,0.077,15.0,0.99739,3.2,0.47,9.7,6
0.37,0.34,2.4,0.085,5.0,0.99683,3.17,0.65,10.6,7
0.31,0.34,2.5,0.0819999999999999,26.0,0.99356,3.22,0.59,12.5,7
0.41,0.41,6.2,0.078,25.0,0.9953,3.24,0.77,12.6,7
0.5,0.21,2.2,0.088,21.0,0.99692,3.33,0.83,11.1,6
0.49,0.19,1.7,0.079,13.0,0.99547,3.38,0.64,9.8,6
0.39,0.33,3.3,0.046,12.0,0.99294,3.36,0.62,12.2,6
0.44,0.0,1.4,0.07,32.0,0.99438,3.32,0.58,11.4,6
0.78,0.0,1.7,0.076,33.0,0.99612,3.31,0.62,10.7,6
0.43,0.17,1.8,0.0819999999999999,27.0,0.99634,3.49,0.64,10.4,5
0.49,0.36,1.7,0.081,3.0,0.99702,3.27,0.78,10.9,6
0.5,0.36,1.8,0.084,6.0,0.99704,3.27,0.77,10.8,6
0.46,0.59,1.4,0.414,16.0,0.99702,3.03,1.34,9.2,5
0.605,0.05,2.4,0.073,19.0,0.99258,3.56,0.55,12.9,5
0.33,0.42,2.3,0.07,9.0,0.99426,3.38,0.77,12.7,7
0.64,0.27,2.0,0.095,5.0,0.99747,3.13,0.62,9.1,6
0.48,0.53,4.0,0.1009999999999999,3.0,0.99586,3.21,0.59,12.1,7
0.42,0.25,3.9,0.104,28.0,0.99784,3.15,0.57,9.1,5
0.53,0.57,2.4,0.093,30.0,0.9971,3.19,0.76,11.6,7
0.23,0.57,1.8,0.074,3.0,0.9981,3.14,0.7,9.9,6
0.4,0.5,1.8,0.071,7.0,0.99462,3.21,0.69,12.5,8
0.38,0.44,1.9,0.098,6.0,0.9956,3.3,0.64,11.4,6
0.29,0.65,2.4,0.075,6.0,0.99565,3.22,0.63,11.8,6
0.74,0.09,2.0,0.067,5.0,0.99418,3.28,0.57,11.8,6
0.61,0.18,2.4,0.083,6.0,0.9963,3.29,0.6,10.2,6
0.52,0.08,2.4,0.07,13.0,0.99358,3.4,0.72,12.5,7
0.31,0.53,2.2,0.06,3.0,0.99572,3.02,0.83,10.9,7
0.62,0.35,2.8,0.086,28.0,0.997,3.31,0.62,10.8,5
0.33,0.45,1.5,0.057,19.0,0.99498,3.18,0.89,11.1,7
0.77,0.2,8.1,0.098,30.0,0.99892,3.2,0.58,9.2,5
0.62,0.33,2.7,0.088,16.0,0.9972,3.31,0.58,10.7,6
0.32,0.56,2.0,0.073,3.0,0.99534,3.15,0.73,11.4,6
0.37,0.65,6.4,0.08,3.0,0.99817,3.27,0.58,11.0,5
0.3,0.68,8.3,0.05,37.5,0.99316,3.01,0.51,12.3,7
0.38,0.3,1.8,0.073,31.0,0.99685,3.42,0.59,9.5,6
0.42,0.45,2.4,0.072,32.0,0.99617,3.33,0.77,12.0,6
0.48,0.08,1.8,0.074,40.0,0.99529,3.12,0.49,9.6,5
0.34,0.4,4.7,0.055,3.0,0.99738,3.38,0.66,11.6,7
0.19,0.42,1.6,0.057,18.0,0.994,3.29,0.69,11.2,6
0.41,0.54,1.5,0.095,22.0,0.99735,3.02,0.76,9.9,7
0.26,0.54,1.9,0.083,42.0,0.99451,2.98,0.63,11.8,8
0.34,0.42,2.0,0.086,8.0,0.99546,3.35,0.6,11.4,6
0.54,0.09,2.0,0.081,10.0,0.99479,3.43,0.59,11.5,6
0.31,0.36,2.2,0.079,11.0,0.99615,3.33,0.86,12.0,7
0.725,0.09,5.5,0.1169999999999999,9.0,0.99655,3.35,0.49,10.8,6
0.52,0.38,1.5,0.096,5.0,0.99666,3.2,0.52,9.4,5
0.34,0.42,2.1,0.072,23.0,0.99392,3.11,0.78,12.4,6
0.49,0.27,2.1,0.071,14.0,0.99388,3.35,0.63,12.0,6
0.48,0.34,2.2,0.073,16.0,0.9936,3.28,0.66,12.4,6
0.57,0.28,2.1,0.048,13.0,0.99374,3.41,0.6,12.8,5
0.3,0.41,2.0,0.068,10.0,0.99523,3.27,0.85,11.7,7
0.78,0.1,3.3,0.09,4.0,0.99855,3.36,0.49,9.5,5
0.47,0.43,2.1,0.171,27.0,0.9982,3.17,0.76,10.8,6
0.53,0.0,1.4,0.07,6.0,0.99593,3.25,0.64,10.0,6
0.33,0.41,1.5,0.0559999999999999,6.0,0.99396,3.29,0.71,11.0,6
0.4,0.5,4.3,0.046,29.0,0.9902,3.49,0.66,13.6,6
0.69,0.07,2.5,0.091,15.0,0.99572,3.38,0.6,11.3,6
0.39,0.12,2.1,0.065,14.0,0.99252,3.3,0.53,13.3,6
0.66,0.0,2.5,0.066,7.0,0.99256,3.52,0.58,12.9,5
0.54,0.34,2.5,0.076,8.0,0.99235,3.2,0.72,13.1,8
0.47,0.0,1.4,0.055,27.0,0.9922,3.45,0.48,12.3,6
0.24,0.35,1.7,0.055,13.0,0.99394,3.14,0.59,11.3,7
0.76,0.0,2.9,0.072,26.0,0.99379,3.51,0.6,11.5,6
0.43,0.33,2.7,0.095,28.0,0.9984,3.22,0.68,10.0,5
0.6,0.0,1.9,0.0579999999999999,5.0,0.9977,3.18,0.63,10.4,6
0.36,0.34,1.8,0.075,18.0,0.9933,3.38,0.88,13.6,7
0.48,0.07,5.5,0.089,10.0,0.99684,3.37,0.68,11.2,7
0.28,0.35,1.7,0.061,6.0,0.99524,3.3,0.74,11.8,7
0.25,0.43,1.7,0.067,22.0,0.9946,3.38,0.6,11.9,6
0.52,0.45,2.0,0.08,6.0,0.99774,3.22,0.76,11.4,6
0.41,0.15,3.7,0.104,29.0,0.99786,3.14,0.58,9.1,5
0.51,0.24,2.0,0.079,16.0,0.99764,3.34,0.64,9.5,6
0.4,0.3,1.7,0.08,33.0,0.9969,3.41,0.65,9.5,6
0.38,0.32,2.5,0.08,24.0,0.99624,3.27,0.85,11.0,6
0.45,0.11,2.4,0.043,6.0,0.99354,3.3,0.65,11.4,6
0.22,0.3,1.8,0.065,16.0,0.99672,3.61,0.82,10.0,6
0.32,0.23,2.3,0.066,35.0,0.99588,3.43,0.62,10.1,5
0.2,0.43,2.5,0.076,31.0,0.99672,3.53,0.81,10.4,6
0.5,0.12,1.8,0.178,6.0,0.996,3.28,0.87,9.8,6
0.41,0.45,6.2,0.071,6.0,0.99702,3.21,0.49,11.8,7
0.39,0.42,2.0,0.086,9.0,0.99526,3.39,0.66,11.6,6
0.35,0.47,2.0,0.061,6.0,0.99585,3.23,0.52,12.0,6
0.58,0.23,2.5,0.044,16.0,0.99352,3.46,0.65,12.5,6
0.6,0.25,2.2,0.118,9.0,0.99616,3.15,0.53,9.8,5
0.42,0.35,2.1,0.083,17.0,0.99622,3.23,0.66,11.1,6
0.18,0.51,1.75,0.071,45.0,0.99524,3.33,0.76,11.8,7
0.51,0.18,2.1,0.042,16.0,0.9924,3.46,0.87,12.9,7
0.32,0.42,2.3,0.075,12.0,0.99434,3.14,0.71,11.8,7
0.785,0.24,1.7,0.078,10.0,0.99692,3.29,0.67,10.0,5
0.33,0.39,2.5,0.074,29.0,0.99528,3.32,0.88,12.4,7
0.34,0.27,2.8,0.067,8.0,0.99384,3.21,0.56,12.0,6
0.5,0.29,2.3,0.086,5.0,0.99502,3.32,0.62,11.5,6
0.36,0.34,1.6,0.062,5.0,0.99667,3.2,0.67,10.5,6
0.42,0.46,2.1,0.074,5.0,0.99649,3.27,0.74,12.3,6
0.36,0.31,1.7,0.079,26.0,0.99716,3.46,0.62,9.5,6
0.61,0.0,2.2,0.095,48.0,0.99541,3.61,0.7,11.5,6
0.88,0.03,5.6,0.079,23.0,0.99572,3.58,0.5,11.2,4
